2021_Canadian_Federal,CPC,LPC,NDP,BQ,GPC,PPC,Others
44458,31.2,32.4,17.5,7.5,4.5,6.6,0.3
44458,33,29.4,16.2,6.9,2.9,10.3,1.3
44458,32,32,19,7,4,6,1
44458,30.4,33.4,18.1,6,2.1,9.3,0.7
44458,32,31,19,7,4,6,2
44458,27.3,32.6,18,7.3,3.9,9.9,1
44457,30,31,19,7,4,7,2
44457,26.9,32.1,18.5,7.2,4.4,10,0.9
44457,30.5,30.8,21,6.5,4.7,5.6,1
44457,30.5,31.9,19,6.4,2.5,8.9,0.8
44457,31,32,21,6,3,6,1
44457,32,31,21,7,3,4,1
44457,32,30,20,7,3,5,1
44456,27.7,30.6,20,7.3,4.5,9.1,1
44456,29.2,31.3,20.9,6.4,3.9,7.3,1
44456,30.8,31,19.9,6.6,2.5,8.4,0.9
44456,32,33,21,6,2,5,1
44456,33,32,19,7,2,6,1
44455,30.6,30.4,18.5,7,4.1,8.5,0.9
44455,30.4,31.9,20.3,5.8,3.2,7.5,0.8
44455,31.9,29.5,19.5,6.4,3,8.8,0.9
44455,30,34,21,6,3,5,1
44455,31,31,21,7,4,5,1
44454,30.4,32.1,18.4,6.3,3.8,8.2,0.7
44454,30.3,31.9,21.2,6.4,3.2,6.7,0.4
44454,32,30.2,18.9,6.4,2.9,8.7,0.8
44454,31,33,22,5,3,5,2
44453,31.8,31.8,19.1,6.4,3.3,6.9,0.7
44453,31.2,30.5,21.4,6.2,3.7,6.8,0.3
44453,31.4,31.4,17.5,7,3.3,8.7,0.6
44452,32.2,31.2,19.4,6.2,3.1,7.3,0.6
44452,30,34,20,7,3,5,1
44452,31.2,32.3,18.9,6.4,3.8,6.7,0.8
44452,29.5,33.5,16.4,7.5,3.3,9.1,0.7
44452,32,32,21,7,4,3,1
44452,32,32,20,7,3,5,1
44452,32,29,19,6,5,5,4
44451,32,32,20,7,4,5,1
44451,28,33,22,7,4,4,1
44451,31.9,30.3,20.3,6,3.7,7,0.8
44451,30.2,33.2,18.6,6.8,3.8,6.6,0.8
44451,28.6,33.5,17.1,7.9,3.7,8.4,0.9
44451,32,32,21,6,3,4,2
44451,32,30,21,7,2,6,2
44450,30.2,29.7,21.9,6.5,4.4,5.6,1.7
44450,32.8,31.1,19,4.7,3.9,7.8,0.7
44450,30.7,34,18.6,6.6,4.1,5.1,0.9
44450,29.4,33.4,17.6,7.4,3.1,8.1,1
44449,31,28,18,8,4,9,2
44449,30.9,30.4,19.9,4.6,4.3,9.1,0.8
44449,30.1,34.4,19,6.4,4.6,5,0.7
44449,30.2,33.9,17.9,6.4,2.6,7.9,1
44448,33.2,29.7,16.7,4.3,3.8,11.7,0.6
44448,33.3,31.3,19.2,6.6,3.8,5,0.9
