no cpc,LPC,NDP,BQ,GPC,PPC,Others
44458,32.4,17.5,7.5,4.5,6.6,0.3
44458,29.4,16.2,6.9,2.9,10.3,1.3
44458,32,19,7,4,6,1
44458,33.4,18.1,6,2.1,9.3,0.7
44458,31,19,7,4,6,2
44458,32.6,18,7.3,3.9,9.9,1
44457,31,19,7,4,7,2
44457,32.1,18.5,7.2,4.4,10,0.9
44457,30.8,21,6.5,4.7,5.6,1
44457,31.9,19,6.4,2.5,8.9,0.8
44457,32,21,6,3,6,1
44457,31,21,7,3,4,1
44457,30,20,7,3,5,1
44456,30.6,20,7.3,4.5,9.1,1
44456,31.3,20.9,6.4,3.9,7.3,1
44456,31,19.9,6.6,2.5,8.4,0.9
44456,33,21,6,2,5,1
44456,32,19,7,2,6,1
44455,30.4,18.5,7,4.1,8.5,0.9
44455,31.9,20.3,5.8,3.2,7.5,0.8
44455,29.5,19.5,6.4,3,8.8,0.9
44455,34,21,6,3,5,1
44455,31,21,7,4,5,1
44454,32.1,18.4,6.3,3.8,8.2,0.7
44454,31.9,21.2,6.4,3.2,6.7,0.4
44454,30.2,18.9,6.4,2.9,8.7,0.8
44454,33,22,5,3,5,2
44453,31.8,19.1,6.4,3.3,6.9,0.7
44453,30.5,21.4,6.2,3.7,6.8,0.3
44453,31.4,17.5,7,3.3,8.7,0.6
44452,31.2,19.4,6.2,3.1,7.3,0.6
44452,34,20,7,3,5,1
44452,32.3,18.9,6.4,3.8,6.7,0.8
44452,33.5,16.4,7.5,3.3,9.1,0.7
44452,32,21,7,4,3,1
44452,32,20,7,3,5,1
44452,29,19,6,5,5,4
44451,32,20,7,4,5,1
44451,33,22,7,4,4,1
44451,30.3,20.3,6,3.7,7,0.8
44451,33.2,18.6,6.8,3.8,6.6,0.8
44451,33.5,17.1,7.9,3.7,8.4,0.9
44451,32,21,6,3,4,2
44451,30,21,7,2,6,2
44450,29.7,21.9,6.5,4.4,5.6,1.7
44450,31.1,19,4.7,3.9,7.8,0.7
44450,34,18.6,6.6,4.1,5.1,0.9
44450,33.4,17.6,7.4,3.1,8.1,1
44449,28,18,8,4,9,2
44449,30.4,19.9,4.6,4.3,9.1,0.8
44449,34.4,19,6.4,4.6,5,0.7
44449,33.9,17.9,6.4,2.6,7.9,1
44448,29.7,16.7,4.3,3.8,11.7,0.6
44448,31.3,19.2,6.6,3.8,5,0.9
44448,32.9,18.5,5.3,2.2,8.4,0.8
44447,30.7,15.7,4.1,4.1,11.2,0.7
44447,30.6,20.3,5.5,4.2,5.3,1.4
44447,32.3,19,5.5,1.9,7.9,0.5
44446,31.8,16.4,4,3.2,9.5,0.7
44446,30,20.7,5.5,2.2,7.6,0.4
44446,31.6,21.1,5,4.4,4.3,0.9
44445,30.8,19.2,3.8,3.8,7.9,0.8
44445,31.1,19.6,6.4,2.4,6.4,0.6
44445,33,21,6,3,3,<1
44445,32,21,7,2,2,�
44445,32,20,6,2,5,1
44445,32,21,7,3,3,1
44444,33,21,6,3,4,1
44444,27.9,20.3,5.6,3.6,7.9,0.7
44444,34.1,20.9,4,4.5,3.8,0.6
44444,31.1,18.4,6.2,2.6,6.7,0.9
44443,28.1,20.5,4.8,4.4,6.9,0.8
44443,33.4,18.9,4.8,4.2,3.5,0.4
44443,31.8,17.5,6.3,2.3,6.3,1.3
44443,32,21,7,3,3,1
44442,28.8,19.6,4.9,4.6,6.3,0.8
44442,33,18.7,4.1,4.4,3.9,0.4
44442,32.1,18.2,5.6,2.2,6.5,1.2
44441,29.5,19.4,3.9,4.5,5.8,0.9
44441,30.7,18.3,5.5,4.5,4.8,0.5
44441,30.7,18.8,5.1,2.4,5.9,1.3
44440,30.7,18.8,4.7,3.7,5.8,0.8
44440,30.5,20.1,6,4,4.8,0.3
44440,30.9,18.7,4.8,2.6,5.8,1.3
44440,30,22,6,4,4,1
44439,30.7,18.9,5.3,3.2,5.2,0.7
44439,31,20.3,6.8,3.5,4.1,0.6
44439,29.2,19.1,4.7,2.8,5.7,1.3
44438,31.3,18,5.8,3.2,5,0.7
44438,33,22,6,4,3,<1
44438,33.2,19.2,6.4,4.6,3.3,0.7
44438,29.2,18.8,5.7,2.7,5.7,1
44438,31,23,7,4,1,2
44438,30,24,7,2,3,1
44438,32,23,8,4,4,1
44437,30,24,7,3,2,1
44437,30,21,7,3,4,2
44437,31.3,20,5.8,5.9,3.6,0.6
44437,28.5,19.3,6.3,2.5,5.1,0.6
44437,29.4,19.3,5.6,3.2,5,0.7
44437,33,22,8,2,3,1
44436,31.1,19.9,5.5,5.7,4.2,0.4
44436,28.3,19.4,6.9,2.2,4.9,0.5
44436,29.1,17.7,5.5,3.7,6.5,0.7
44435,30.8,21.7,5.3,4.9,3.8,0.3
44435,29.3,19.6,6.2,2.4,4.5,0.6
44435,28.5,19.8,5.5,3.8,6.8,0.8
44434,33.4,19.9,5.3,4.6,3.1,0.2
44434,31.4,18.5,5.4,2.6,4.3,1
44434,29,20.3,5.1,4.2,6.3,0.6
44433,33.6,18.9,5.3,4.3,3.1,0.3
44433,31.8,19.1,5.4,3.1,4.6,1.3
44433,29.4,20.7,6,3.8,6.7,0.7
44432,35.9,16.8,5.6,4.8,3.7,0.5
44432,31.2,19,6,3.1,5.8,1.2
44432,31.4,20.5,5.7,3.5,5.7,0.9
44431,33.5,18.9,5.4,4.7,3.6,0.7
44431,30,19,7,3.3,7.4,0.9
44431,32,19.6,6.2,3.5,5,0.8
44431,33,21,6,5,2,1
44431,33,22,7,3,3,1
44430,33,21,7,4,3,1
44430,33,21,7,4,3,1
44430,32.5,20.8,6.1,5.1,3.3,0.8
44430,32.4,18.2,5.9,3.3,6.6,1
44430,32.9,17,6.9,4.3,6.3,0.9
44430,33,23,6,3,4,2
44429,34.3,19.3,6.3,4.5,2.4,0.8
44429,34,19.7,5.9,3.4,5.1,1
44429,32.4,16.6,6.1,5.2,6.1,0.8
44428,34.2,20.2,6.1,4.3,2.1,0.9
44428,31.4,18.3,6.2,4.9,5.7,0.6
44428,33.9,19.3,4.9,3.7,4.4,1.3
44427,32.5,19.2,5.7,4.9,5.2,0.7
44427,33.4,19.8,5,3.6,4,1.1
44426,30.3,21.7,7.8,4.8,4.3,2.6
44426,33.3,20.1,5.5,4.5,3.9,0.7
44426,33.6,18.4,5.5,4,4.5,1.1
44425,34.3,21,5.4,4.2,3.7,0.8
44425,33.8,18.9,6.1,3.9,4.5,1.1
44425,36,20,6,4,4,1
